"tratte" "durata"
"1" 603 77
"2" 603 90
"3" 603 93
"4" 603 89
"5" 603 75
"6" 619 88
"7" 619 93
"8" 619 92
"9" 619 86
"10" 619 74
"11" 643 101
"12" 643 96
"13" 643 83
"14" 643 86
"15" 643 76
"16" 598 92
"17" 598 80
"18" 598 90
"19" 598 59
"20" 598 85
"21" 524 75
"22" 524 81
"23" 524 81
"24" 524 84
"25" 524 70
"26" 733 99
"27" 733 93
"28" 733 91
"29" 733 90
"30" 733 102
"31" 577 92
"32" 577 67
"33" 577 85
"34" 577 90
"35" 577 95
"36" 388 78
"37" 388 85
"38" 388 50
"39" 388 72
"40" 388 59
"41" 875 91
"42" 875 76
"43" 875 119
"44" 875 113
"45" 875 118
"46" 506 81
"47" 506 55
"48" 506 68
"49" 506 71
"50" 506 63
"51" 531 72
"52" 531 76
"53" 531 75
"54" 531 71
"55" 531 89
"56" 878 110
"57" 878 106
"58" 878 114
"59" 878 98
"60" 878 98
"61" 347 63
"62" 347 63
"63" 347 43
"64" 347 62
"65" 347 54
"66" 799 95
"67" 799 97
"68" 799 94
"69" 799 114
"70" 799 106
"71" 1018 128
"72" 1018 115
"73" 1018 125
"74" 1018 129
"75" 1018 131
"76" 517 76
"77" 517 86
"78" 517 80
"79" 517 73
"80" 517 53
"81" 380 51
"82" 380 59
"83" 380 64
"84" 380 67
"85" 380 55
