"tratte" "durata"
"1" 603 77
"2" 603 92
"3" 603 94
"4" 603 75
"5" 603 92
"6" 619 81
"7" 619 97
"8" 619 94
"9" 619 101
"10" 619 82
"11" 643 75
"12" 643 85
"13" 643 87
"14" 643 104
"15" 643 92
"16" 598 79
"17" 598 71
"18" 598 87
"19" 598 89
"20" 598 109
"21" 524 75
"22" 524 74
"23" 524 88
"24" 524 65
"25" 524 79
"26" 733 109
"27" 733 111
"28" 733 103
"29" 733 107
"30" 733 110
"31" 577 90
"32" 577 71
"33" 577 104
"34" 577 79
"35" 577 54
"36" 388 52
"37" 388 53
"38" 388 66
"39" 388 67
"40" 388 58
"41" 875 125
"42" 875 117
"43" 875 107
"44" 875 102
"45" 875 115
"46" 506 66
"47" 506 82
"48" 506 66
"49" 506 70
"50" 506 88
"51" 531 78
"52" 531 92
"53" 531 88
"54" 531 86
"55" 531 63
"56" 878 126
"57" 878 120
"58" 878 116
"59" 878 120
"60" 878 99
"61" 347 61
"62" 347 30
"63" 347 40
"64" 347 57
"65" 347 53
"66" 799 130
"67" 799 97
"68" 799 127
"69" 799 104
"70" 799 104
"71" 1018 152
"72" 1018 125
"73" 1018 132
"74" 1018 152
"75" 1018 143
"76" 517 72
"77" 517 75
"78" 517 82
"79" 517 77
"80" 517 94
"81" 380 51
"82" 380 58
"83" 380 56
"84" 380 69
"85" 380 54
